,Event,Node,Target,Time
1677,Connect,45,60,712
1678,Role,45, ROLE_AMBASSADOR,713
1679,Connect,45,70,713
1680,Connect,45,75,714
1681,Role,81, ROLE_AMBASSADOR,715
1682,Connect,45,81,715
1683,Connect,45,93,716
1684,Connect,45,104,717
1685,Connect,45,110,718
1686,Role,45, ROLE_NONE,719
1687,Role,111, ROLE_NONE,719
1688,Connect,45,111,719
1689,Role,113, ROLE_NONE,720
1690,Connect,45,113,720
1691,Connect,46,6,721
1692,Role,46, ROLE_AMBASSADOR,722
1693,Connect,46,10,722
1694,Connect,46,14,723
1695,Connect,46,20,724
1696,Connect,46,33,725
1697,Role,46, ROLE_NONE,726
1698,Connect,46,34,726
1699,Role,46, ROLE_AMBASSADOR,727
1700,Role,65, ROLE_AMBASSADOR,727
1701,Connect,46,65,727
1702,Role,46, ROLE_NONE,728
1703,Role,80, ROLE_NONE,728
1704,Connect,46,80,728
1705,Role,46, ROLE_AMBASSADOR,729
1706,Connect,46,100,729
1707,Connect,46,102,730
1708,Role,103, ROLE_AMBASSADOR,731
1709,Connect,46,103,731
1710,Role,106, ROLE_AMBASSADOR,732
1711,Connect,46,106,732
1712,Role,46, ROLE_NONE,733
1713,Role,114, ROLE_NONE,733
1714,Connect,46,114,733
1715,Role,46, ROLE_AMBASSADOR,734
1716,Role,116, ROLE_AMBASSADOR,734
1717,Connect,46,116,734
1718,Role,46, ROLE_NONE,735
1719,Role,117, ROLE_NONE,735
1720,Connect,46,117,735
1721,Role,118, ROLE_NONE,736
1722,Connect,46,118,736
1723,Role,47, ROLE_AMBASSADOR,737
1724,Connect,47,1,737
1725,Role,47, ROLE_NONE,738
1726,Role,8, ROLE_NONE,738
1727,Connect,47,8,738
1728,Role,47, ROLE_AMBASSADOR,739
1729,Role,9, ROLE_AMBASSADOR,739
1730,Connect,47,9,739
1731,Connect,47,19,740
1732,Role,47, ROLE_NONE,741
1733,Connect,47,22,741
1734,Role,47, ROLE_AMBASSADOR,742
1735,Role,27, ROLE_AMBASSADOR,742
1736,Connect,47,27,742
1737,Role,31, ROLE_AMBASSADOR,743
1738,Connect,47,31,743
1739,Connect,47,37,744
1740,Role,47, ROLE_NONE,745
1741,Connect,47,38,745
1742,Role,40, ROLE_NONE,746
1743,Connect,47,40,746
1744,Role,43, ROLE_NONE,747
1745,Connect,47,43,747
1746,Role,47, ROLE_AMBASSADOR,748
1747,Connect,47,63,748
1748,Connect,47,74,749
1749,Connect,47,96,750
1750,Role,119, ROLE_AMBASSADOR,751
1751,Connect,47,119,751
1752,Connect,47,128,752
1753,Role,48, ROLE_AMBASSADOR,753
1754,Role,3, ROLE_AMBASSADOR,753
1755,Connect,48,3,753
1756,Role,48, ROLE_NONE,754
1757,Role,5, ROLE_NONE,754
1758,Connect,48,5,754
1759,Role,48, ROLE_AMBASSADOR,755
1760,Role,6, ROLE_AMBASSADOR,755
1761,Connect,48,6,755
1762,Connect,48,20,756
1763,Connect,48,33,757
